accuracy,loss,val_accuracy,val_loss,learning_rate
0.31687501072883606,3.0894052982330322,0.2849999964237213,1.629518985748291,0.003000000026077032
0.3659375011920929,2.699429988861084,0.3987500071525574,1.487398624420166,0.003000000026077032
0.3824999928474426,3.1000683307647705,0.4037500023841858,1.4361261129379272,0.003000000026077032
0.3918749988079071,1.9896788597106934,0.45249998569488525,1.3488703966140747,0.003000000026077032
0.37718749046325684,1.662375807762146,0.3687500059604645,1.4125725030899048,0.003000000026077032
0.36500000953674316,2.4642786979675293,0.36625000834465027,1.5388212203979492,0.003000000026077032
0.37031251192092896,1.9573897123336792,0.4087499976158142,1.3836853504180908,0.003000000026077032
0.36500000953674316,1.6577048301696777,0.38874998688697815,1.4385496377944946,0.003000000026077032
0.39156249165534973,1.5969678163528442,0.39125001430511475,1.3992912769317627,0.003000000026077032
0.38093748688697815,3.3219094276428223,0.36125001311302185,1.447095513343811,0.003000000026077032
0.37031251192092896,1.7244430780410767,0.3725000023841858,1.4282662868499756,0.003000000026077032
0.39125001430511475,2.0977561473846436,0.35874998569488525,1.549331784248352,0.003000000026077032
0.3540624976158142,1.7663308382034302,0.3762499988079071,1.4718146324157715,0.001500000013038516
0.38749998807907104,2.9477968215942383,0.36000001430511475,1.4484959840774536,0.001500000013038516
0.37062498927116394,1.846563696861267,0.3737500011920929,1.419671654701233,0.001500000013038516
0.3893750011920929,1.7561612129211426,0.3787499964237213,1.4144234657287598,0.001500000013038516
0.3831250071525574,1.358780860900879,0.375,1.4094468355178833,0.001500000013038516
0.375,1.6907519102096558,0.38874998688697815,1.4046454429626465,0.001500000013038516
0.37593749165534973,1.563848614692688,0.3712500035762787,1.4523100852966309,0.001500000013038516
0.3778125047683716,2.0772409439086914,0.3762499988079071,1.4253742694854736,0.001500000013038516
0.36031249165534973,1.4712953567504883,0.38874998688697815,1.409427523612976,0.000750000006519258
0.37156251072883606,1.393172264099121,0.3812499940395355,1.409378170967102,0.000750000006519258
0.3774999976158142,1.466739296913147,0.39125001430511475,1.3921308517456055,0.000750000006519258
0.38718751072883606,1.4561032056808472,0.3812499940395355,1.402974247932434,0.000750000006519258
